timestamp,barcode_text,ocr_text,image_path,status
2026-03-12 09:37:28,BARCODE NOT FOUND,216591874,data\captures\2026-03-12\img_20260312_093728_BARCODENOTFOUND_216591874.jpg,ocr_only
2026-03-12 09:37:29,BARCODE NOT FOUND,2105919874,data\captures\2026-03-12\img_20260312_093729_BARCODENOTFOUND_2105919874.jpg,ocr_only
2026-03-12 09:37:29,BARCODE NOT FOUND,210591874,data\captures\2026-03-12\img_20260312_093729_BARCODENOTFOUND_210591874.jpg,ocr_only
2026-03-12 09:37:38,BARCODE NOT FOUND,215919574,data\captures\2026-03-12\img_20260312_093738_BARCODENOTFOUND_215919574.jpg,ocr_only
2026-03-12 09:37:38,BARCODE NOT FOUND,2165919574,data\captures\2026-03-12\img_20260312_093738_BARCODENOTFOUND_2165919574.jpg,ocr_only
2026-03-12 09:37:39,BARCODE NOT FOUND,21059819574,data\captures\2026-03-12\img_20260312_093739_BARCODENOTFOUND_21059819574.jpg,ocr_only
2026-03-12 09:37:40,BARCODE NOT FOUND,2106591874,data\captures\2026-03-12\img_20260312_093740_BARCODENOTFOUND_2106591874.jpg,ocr_only
2026-03-12 09:37:40,BARCODE NOT FOUND,21065919574,data\captures\2026-03-12\img_20260312_093740_BARCODENOTFOUND_21065919574.jpg,ocr_only
2026-03-12 09:37:41,BARCODE NOT FOUND,2105919874,data\captures\2026-03-12\img_20260312_093741_BARCODENOTFOUND_2105919874.jpg,ocr_only
2026-03-12 09:37:41,BARCODE NOT FOUND,721055819874,data\captures\2026-03-12\img_20260312_093741_BARCODENOTFOUND_721055819874.jpg,ocr_only
2026-03-12 09:37:42,BARCODE NOT FOUND,2105919574,data\captures\2026-03-12\img_20260312_093742_BARCODENOTFOUND_2105919574.jpg,ocr_only
2026-03-12 09:37:52,BARCODE NOT FOUND,21059195874,data\captures\2026-03-12\img_20260312_093752_BARCODENOTFOUND_21059195874.jpg,ocr_only
2026-03-12 09:38:03,BARCODE NOT FOUND,21065919874,data\captures\2026-03-12\img_20260312_093803_BARCODENOTFOUND_21065919874.jpg,ocr_only
2026-03-12 09:38:06,BARCODE NOT FOUND,2105381574,data\captures\2026-03-12\img_20260312_093806_BARCODENOTFOUND_2105381574.jpg,ocr_only
2026-03-12 09:38:14,BARCODE NOT FOUND,2165919574,data\captures\2026-03-12\img_20260312_093814_BARCODENOTFOUND_2165919574.jpg,ocr_only
2026-03-12 09:38:15,BARCODE NOT FOUND,2105919874,data\captures\2026-03-12\img_20260312_093815_BARCODENOTFOUND_2105919874.jpg,ocr_only
2026-03-12 09:38:16,BARCODE NOT FOUND,21659135874,data\captures\2026-03-12\img_20260312_093816_BARCODENOTFOUND_21659135874.jpg,ocr_only
2026-03-12 09:38:41,2LCH9500+33003000,114907930,data\captures\2026-03-12\img_20260312_093841_2LCH950033003000_114907930.jpg,barcode+ocr
2026-03-12 09:38:43,2LCH9500+33003000,1149007930,data\captures\2026-03-12\img_20260312_093843_2LCH950033003000_1149007930.jpg,barcode+ocr
2026-03-12 09:38:48,BARCODE NOT FOUND,1149007950,data\captures\2026-03-12\img_20260312_093848_BARCODENOTFOUND_1149007950.jpg,ocr_only
2026-03-12 09:38:48,BARCODE NOT FOUND,1140079350,data\captures\2026-03-12\img_20260312_093848_BARCODENOTFOUND_1140079350.jpg,ocr_only
2026-03-12 09:38:49,BARCODE NOT FOUND,11400790,data\captures\2026-03-12\img_20260312_093849_BARCODENOTFOUND_11400790.jpg,ocr_only
