epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,78.0729,0.86715,0.50241,0.94229,0.99108,0.98221,0.99434,0.74627,0.96479,0.43018,0.99937,0.00024276,0.00024276,0.00024276
42,79.8619,0.85974,0.49842,0.93748,0.98932,0.98735,0.9942,0.74396,0.96544,0.43602,0.9979,0.000230979,0.000230979,0.000230979
43,81.6691,0.87309,0.49889,0.94112,0.9852,0.98986,0.99407,0.75486,0.93959,0.43328,0.98984,0.000219198,0.000219198,0.000219198
44,83.5201,0.86663,0.48601,0.93446,0.98525,0.98815,0.9937,0.74544,0.96306,0.42647,1.02458,0.000207417,0.000207417,0.000207417
45,85.298,0.83556,0.48237,0.93995,0.98712,0.98945,0.99387,0.74497,0.96383,0.42313,1.03103,0.000195636,0.000195636,0.000195636
46,87.1039,0.84606,0.48308,0.93135,0.98696,0.99031,0.99407,0.74412,0.96436,0.41695,1.0291,0.000183855,0.000183855,0.000183855
47,88.9141,0.8535,0.4915,0.93491,0.98654,0.98959,0.99423,0.75142,0.94567,0.41309,1.00873,0.000172074,0.000172074,0.000172074
48,90.7834,0.83753,0.4904,0.91935,0.99116,0.98535,0.99405,0.76297,0.91061,0.40299,0.99348,0.000160293,0.000160293,0.000160293
49,92.6044,0.83699,0.48483,0.9266,0.98918,0.98657,0.994,0.76482,0.92273,0.40686,0.99932,0.000148512,0.000148512,0.000148512
50,94.4316,0.8473,0.47956,0.94356,0.98709,0.98892,0.99411,0.77087,0.91359,0.40811,0.99125,0.000136731,0.000136731,0.000136731
51,118.26,0.82667,0.49646,0.95564,0.9872,0.9889,0.99411,0.76715,0.90655,0.40999,0.98494,0.00012495,0.00012495,0.00012495
52,120.046,0.83442,0.49125,0.9353,0.98538,0.98883,0.99411,0.76026,0.93162,0.42556,0.99324,0.000113169,0.000113169,0.000113169
53,121.814,0.82419,0.48344,0.94495,0.98459,0.99016,0.99417,0.75919,0.9275,0.42305,0.99358,0.000101388,0.000101388,0.000101388
54,123.582,0.80222,0.47319,0.93127,0.9845,0.9902,0.99405,0.75993,0.92172,0.41738,0.99538,8.9607e-05,8.9607e-05,8.9607e-05
55,125.39,0.79091,0.45301,0.9348,0.98517,0.98978,0.99388,0.76151,0.92353,0.4134,0.99791,7.7826e-05,7.7826e-05,7.7826e-05
56,127.497,0.77689,0.44372,0.94263,0.98519,0.98987,0.99368,0.76134,0.92316,0.41309,0.9946,6.6045e-05,6.6045e-05,6.6045e-05
57,129.481,0.7794,0.45423,0.91275,0.98486,0.98811,0.99364,0.75894,0.92471,0.41307,0.99437,5.4264e-05,5.4264e-05,5.4264e-05
58,131.382,0.75626,0.4331,0.94592,0.9873,0.98574,0.9936,0.76113,0.9246,0.41538,0.99319,4.2483e-05,4.2483e-05,4.2483e-05
59,133.139,0.76078,0.44429,0.91677,0.9879,0.98559,0.99356,0.75792,0.92442,0.41563,0.99173,3.0702e-05,3.0702e-05,3.0702e-05
60,134.924,0.7914,0.44911,0.93852,0.98821,0.98667,0.99373,0.76098,0.92955,0.41722,0.99186,1.8921e-05,1.8921e-05,1.8921e-05
