epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.18272,3.14437,4.56497,2.36984,0,0,0,0,3.03849,4.67551,2.44087,7.14e-06,7.14e-06,7.14e-06
2,6.94623,3.1953,4.57194,2.57301,0,0,0,0,3.05682,4.66922,2.46397,2.12079e-05,2.12079e-05,2.12079e-05
3,7.76635,3.15358,4.57174,2.36314,0,0,0,0,3.06346,4.65544,2.4717,3.49931e-05,3.49931e-05,3.49931e-05
4,8.58929,2.99824,4.45543,2.36533,0,0,0,0,2.80178,4.62903,2.29279,4.84956e-05,4.84956e-05,4.84956e-05
5,9.29224,2.74087,4.51198,2.05605,0,0,0,0,2.63841,4.59164,2.1494,6.17153e-05,6.17153e-05,6.17153e-05
6,10.0372,2.52607,4.45144,1.8449,0,0,0,0,2.33674,4.52264,1.8649,7.46523e-05,7.46523e-05,7.46523e-05
7,10.6268,2.16932,4.23505,1.56531,0,0,0,0,1.95928,4.47232,1.60778,8.73065e-05,8.73065e-05,8.73065e-05
8,11.2329,1.89478,4.1843,1.41112,0.0006,0.01429,0.00041,4e-05,1.71291,4.41982,1.44898,9.9678e-05,9.9678e-05,9.9678e-05
9,11.7898,1.72533,4.12682,1.27801,0.00058,0.01429,0.00038,8e-05,1.59055,4.38971,1.35898,0.000111767,0.000111767,0.000111767
10,12.3676,1.70699,4.0596,1.23561,0.00299,0.06276,0.00203,0.00069,1.47217,4.34427,1.26666,0.000123573,0.000123573,0.000123573
11,12.9146,1.62481,4.00523,1.16243,0.0047,0.10387,0.0075,0.00312,1.40849,4.31147,1.202,0.000135096,0.000135096,0.000135096
12,13.4623,1.60584,4.00238,1.10849,0.00534,0.13873,0.00642,0.00209,1.40086,4.30365,1.17261,0.000146336,0.000146336,0.000146336
13,14.0172,1.54936,3.9086,1.11158,0.00688,0.19111,0.00829,0.00275,1.39683,4.25741,1.13749,0.000157294,0.000157294,0.000157294
14,14.5675,1.45583,3.82263,1.0929,0.01452,0.31409,0.02047,0.00999,1.33925,4.21255,1.09071,0.000167969,0.000167969,0.000167969
15,15.1229,1.41169,3.777,1.06817,0.02013,0.48569,0.04982,0.02446,1.3771,4.2126,1.09867,0.000178361,0.000178361,0.000178361
16,15.6838,1.29891,3.71725,1.03891,0.02132,0.52194,0.0766,0.04157,1.41027,4.20635,1.11034,0.000188471,0.000188471,0.000188471
17,16.2377,1.45154,3.75339,1.03327,0.0263,0.75165,0.18515,0.07202,1.40407,4.14567,1.08547,0.000198298,0.000198298,0.000198298
18,16.7998,1.4193,3.69717,1.00795,0.03637,0.80839,0.12284,0.0692,1.31808,4.06533,1.01114,0.000207842,0.000207842,0.000207842
19,17.3496,1.34683,3.60532,1.02736,0.03415,0.80464,0.11619,0.05814,1.3647,4.04825,1.00233,0.000217103,0.000217103,0.000217103
20,17.8932,1.36152,3.58006,1.02583,0.03584,0.80925,0.09595,0.04743,1.38061,4.0382,1.00211,0.000226082,0.000226082,0.000226082
21,18.485,1.3802,3.52037,1.03714,0.0322,0.82353,0.10343,0.05317,1.35332,4.02285,0.98506,0.000234777,0.000234777,0.000234777
22,19.0246,1.31658,3.44981,1.00427,0.0299,0.86518,0.10024,0.05574,1.30484,4.01755,0.97246,0.000243191,0.000243191,0.000243191
23,19.5836,1.26833,3.47351,0.99086,0.03428,0.90169,0.10174,0.06177,1.30032,4.01052,0.9739,0.000251321,0.000251321,0.000251321
24,20.1577,1.27987,3.37761,1.01473,0.03666,0.92835,0.09986,0.0609,1.28352,3.96896,0.96069,0.000259168,0.000259168,0.000259168
25,20.7136,1.22738,3.23657,1.01131,0.03749,0.92597,0.10527,0.06292,1.30417,3.93451,0.95463,0.000266733,0.000266733,0.000266733
26,21.261,1.2957,3.19008,1.02706,0.0363,0.92169,0.1133,0.06866,1.3456,3.91376,0.95927,0.000274015,0.000274015,0.000274015
27,21.8059,1.28708,3.12358,1.03593,0.03499,0.92169,0.11241,0.06555,1.39455,3.91446,0.97569,0.000281015,0.000281015,0.000281015
28,22.3187,1.20624,3.15787,0.97742,0.03499,0.92169,0.11241,0.06555,1.39455,3.91446,0.97569,0.000287731,0.000287731,0.000287731
29,22.8509,1.18459,3.00075,0.98065,0.03476,0.93794,0.11556,0.06427,1.38616,3.91637,0.97869,0.000294165,0.000294165,0.000294165
30,23.4098,1.28656,3.02075,0.98838,0.03399,0.94794,0.12264,0.06796,1.3457,3.86273,0.96446,0.000300316,0.000300316,0.000300316
31,23.9327,1.23375,2.95663,0.99656,0.03399,0.94794,0.12264,0.06796,1.3457,3.86273,0.96446,0.000306185,0.000306185,0.000306185
32,24.4575,1.23751,2.82182,1.01586,0.03404,0.93683,0.13583,0.0813,1.31252,3.80829,0.95153,0.00031177,0.00031177,0.00031177
33,24.997,1.1908,2.78248,0.97168,0.03378,0.93794,0.14582,0.09132,1.28823,3.71908,0.94332,0.000317073,0.000317073,0.000317073
34,25.5169,1.24817,2.73812,0.98071,0.03378,0.93794,0.14582,0.09132,1.28823,3.71908,0.94332,0.000322093,0.000322093,0.000322093
35,26.0517,1.21812,2.70923,0.99605,0.03481,0.9646,0.16747,0.09964,1.36157,3.60453,0.95251,0.000326831,0.000326831,0.000326831
36,26.6138,1.20746,2.69441,1.00039,0.03528,0.9746,0.16155,0.09403,1.37457,3.52118,0.95917,0.000331285,0.000331285,0.000331285
37,27.1251,1.18837,2.63277,0.96836,0.03528,0.9746,0.16155,0.09403,1.37457,3.52118,0.95917,0.000335457,0.000335457,0.000335457
38,27.6599,1.19402,2.51593,0.97649,0.0352,0.9746,0.15329,0.0878,1.38527,3.43072,0.9692,0.000339346,0.000339346,0.000339346
39,28.1881,1.23421,2.58402,0.9924,0.0362,0.9746,0.18537,0.10997,1.37041,3.37154,0.98263,0.000342953,0.000342953,0.000342953
40,28.697,1.15701,2.27395,1.00133,0.0362,0.9746,0.18537,0.10997,1.37041,3.37154,0.98263,0.000346276,0.000346276,0.000346276
41,29.2425,1.16748,2.42672,0.98474,0.03571,0.9746,0.24207,0.15375,1.32901,3.30723,0.98226,0.000349317,0.000349317,0.000349317
42,29.7664,1.21332,2.23548,1.0674,0.03548,0.98889,0.26404,0.16575,1.3249,3.24401,0.97576,0.000352076,0.000352076,0.000352076
43,30.2949,1.2132,2.32218,0.98617,0.03548,0.98889,0.26404,0.16575,1.3249,3.24401,0.97576,0.000354551,0.000354551,0.000354551
44,30.8427,1.18408,2.24441,0.99247,0.03519,0.98889,0.29588,0.18994,1.31438,3.14497,0.98129,0.000356744,0.000356744,0.000356744
45,31.3743,1.2023,2.25061,0.99592,0.03519,0.98889,0.29588,0.18994,1.31438,3.14497,0.98129,0.000358654,0.000358654,0.000358654
46,31.9283,1.24636,2.24531,1.00878,0.28156,0.47253,0.31882,0.20274,1.30009,3.04411,0.99467,0.000360281,0.000360281,0.000360281
47,32.4288,1.15852,2.09899,1.03188,0.28156,0.47253,0.31882,0.20274,1.30009,3.04411,0.99467,0.000361625,0.000361625,0.000361625
48,32.9984,1.23444,2.21643,0.97935,0.26049,0.53063,0.35728,0.23185,1.30683,2.95847,1.00573,0.000362687,0.000362687,0.000362687
49,33.5412,1.2875,2.20441,1.07776,0.26049,0.53063,0.35728,0.23185,1.30683,2.95847,1.00573,0.000363466,0.000363466,0.000363466
50,34.0848,1.19865,2.07585,1.05337,0.9777,0.10502,0.36797,0.241,1.32611,2.88132,1.01192,0.000363962,0.000363962,0.000363962
51,34.6054,1.15977,2.03421,1.03198,0.9777,0.10502,0.36797,0.241,1.32611,2.88132,1.01192,0.00036057,0.00036057,0.00036057
52,35.1521,1.12676,2.00745,0.98702,0.97447,0.14741,0.37532,0.23681,1.34772,2.77018,1.03149,0.000353501,0.000353501,0.000353501
53,35.6633,1.17533,1.98622,1.00906,0.97447,0.14741,0.37532,0.23681,1.34772,2.77018,1.03149,0.000346433,0.000346433,0.000346433
54,36.6131,1.21134,2.01641,1.03484,0.90188,0.21103,0.38098,0.23919,1.31499,2.65081,1.03139,0.000339364,0.000339364,0.000339364
55,37.1572,1.16637,2.01119,0.99029,0.90188,0.21103,0.38098,0.23919,1.31499,2.65081,1.03139,0.000332296,0.000332296,0.000332296
56,37.6872,1.13419,1.93569,1.0161,0.77437,0.22895,0.40663,0.26528,1.28014,2.52863,1.03025,0.000325227,0.000325227,0.000325227
57,38.1957,1.11028,1.89297,0.99713,0.77437,0.22895,0.40663,0.26528,1.28014,2.52863,1.03025,0.000318158,0.000318158,0.000318158
58,38.7604,1.14812,1.911,1.02769,0.67214,0.25681,0.43198,0.28101,1.24581,2.36604,1.02598,0.00031109,0.00031109,0.00031109
59,39.3024,1.15077,2.0131,0.95088,0.67214,0.25681,0.43198,0.28101,1.24581,2.36604,1.02598,0.000304021,0.000304021,0.000304021
60,39.8581,1.18462,2.00322,0.96678,0.68929,0.31559,0.46892,0.31124,1.23064,2.23539,1.02336,0.000296953,0.000296953,0.000296953
61,40.4037,1.11845,1.82493,0.99477,0.68929,0.31559,0.46892,0.31124,1.23064,2.23539,1.02336,0.000289884,0.000289884,0.000289884
62,40.9474,1.16881,1.9215,0.98176,0.57403,0.38789,0.47696,0.32032,1.2286,2.12899,1.02495,0.000282815,0.000282815,0.000282815
63,41.4602,1.091,1.77562,0.96623,0.57403,0.38789,0.47696,0.32032,1.2286,2.12899,1.02495,0.000275747,0.000275747,0.000275747
64,42.0009,1.16046,1.86511,0.99838,0.45783,0.46072,0.49857,0.33135,1.24028,2.04284,1.04252,0.000268678,0.000268678,0.000268678
65,42.5258,1.12018,1.84856,0.98849,0.45783,0.46072,0.49857,0.33135,1.24028,2.04284,1.04252,0.00026161,0.00026161,0.00026161
66,43.0766,1.11201,1.7483,0.98384,0.46365,0.48841,0.52915,0.35288,1.23302,1.93468,1.0502,0.000254541,0.000254541,0.000254541
